PROD_ID,PROD_NAME
19225,LEE SANDS TURQUOISE & RED JASPER ELEPHANT      EARRINGS
19226,BETHLEHEM LIGHTS SET OF 4 FLICKER CANDLE LIGHTS
19227,ROTATING BLADE GOURMET FOOD CHOPPER
19228,EUREKA  WHIRLWIND LITE UPRIGHT BAGLESS CYCLONIC VACUUM W/TOOLS
19229,COOK'S ESSENTIALS STAINLESS STEEL 1.5QT SAUCE  PAN WITH LID
19230,STERLING DIAMOND CUT CASCADE BEAD DROP         EARRINGS
19231,QUACKER FACTORY FLAG BERBER JACKET WITH        BUTTON COVERS
19232,JOAN RIVERS BEAUTY SET OF 4 SUMMER 2002 NAIL   SHADES
19233,NORTHERN NIGHTS FULL SIZE LUXURY DOWN MATTRESS PAD
19234,ANTHOLOGY 5PC LINED HANDWOVEN HAMPER AND       BASKET SET
19235,LEADING LADYr  BRA
19236,2-IN-1 BATHTUB & BATHSEAT
19237,18 PC. SCREWDRIVER SET
19238,20 PC. SCREWDRIVER SET
19239,SWITCH
19240,"XBOX 5"""" COLOR GAME MONITOR"
19241,GPC FULL FLAVOR 100S BOX
19242,BLACK SEX-LINK FEMALE
19243,SPIDER-MAN:  OFFICIAL MOVIE ADAPTATION
19244,MINOLTA
19245,NYLON THIGH-HIGHS
19246,CIRCUS
19247,ANM SMALL PUNCH - WITCH
19248,PRETTY  PULLOVER
19249,FLORAL COTTON FLANNEL LOUNGER
19250,MINIMIZER BRA
19251,NO MORE SHEETS! (SC97) - TAPE 4 - NO MORE SHEETS - JUANITA BYNUM
19252,HELP! THE DEVIL'S AFTER MY HOME - 4 TAPE SET
19253,MEN'S 2-PLY CASHMERE RIBBED CREWNECK SWEATER
19254,CANNON 12 PIECE COTTON TOWEL SET
19255,TELETUBBIES COME AND SEE WITH LAA-LAA
19256,MUSICAL TURTLE FAMILY
19257,ZIG ZAG WHITE 1.0 24CT BOX
19258,EPSON PERFECTION 1250 SCANNER
19259,CAMEL FILTERS 100'S
19260,BENEFIT&NBSP;OOH LA LIFT&NBSP;
19261,MINNEAPOLIS-ARPT(MALL OF AMER)
19262,TOMMY GIFT SET
19263,LITTLE LEAP INTERACTIVE TALKING TOY
19264,THE SHARPER IMAGE: IONIC BREEZE QUADRA COMPAC
19265,THE SHARPER IMAGE: BARK-FREE DOG TRAINER
19266,GLASS DRAGON 2 1/2 INCHES
19267,HOT+COLD MINI FRIDGE
19268,HARD CANDY&NBSP;PALM PALETTE - GLAM&NBSP;
19269,GIVENCHY&NBSP;PRESSED POWDER & BRUSH (ORIGINAL PRICE $36.00)&NBSP;-&NBSP;E'CLAIR/ FLASH 2
19270,INLAID WOODEN JEWELRY BOX
19271,THE SHARPER IMAGE: TAPPING MASSAGE LUMBAR CUS
19272,PROMOTIONAL FARE
19273,BOY SHORT
19274,EPSON T008201 COLOR INKJET CARTRIDGE
19275,SWANSON PREMIUM BRAND
19276,SWANSON ULTRA
19277,FOUR 1 POUND BEEF LOG ASSORTMENT
19278,MYSTICAL DRAGON
19279,AQUARIUM W/PUMP & VIEWF
19280,EPSON T017201 BLACK INK CARTRIDGE
19281,HEWLETT-PACKARD C1823D COLOR INKJET CARTRIDGE
19282,CASIO FR-2650PLUS PRINTING CALCULATOR
19283,IMATION TRAVANT 8GB FORMATTED MINI CARTRIDGE
19284,BASIC BASEBALL 2 - 6 TRADES
19285,BASIC BASEBALL 2 - 1 TRADE
19286,SUMMER COOKIES
19287,BOOTIE GRANNY TOSS
19288,BAR MASTER
19289,SUEDED KNIT SKIRT
19290,VELVET PATCHWORK THROW
19291,SAFETY 1ST DELUXE MUSICAL MOBILE BOUNCER 25116
19292,STEP 2 VIDEO CENTER
19293,PATTY CAKES HANDPRINT TOWER - PINK
19294,ARCHITECT'S DESK
19295,WOMEN'S CROCHET LONG-SLEEVE T-SHIRT - WHITE (M)
19296,ROOM GEAR SPORTS SHEET SET (TWIN)
19297,SCOOBY-DOO BACKPACK
19298,TICKETS
19299,&#34;HOME IS WHERE THE HEART IS&#34; SIGN (28&#34;)
19300,ESKIMO LEGEND FRAMED PRINT
19301,WOOD LEPRECHAUN WINDOW PEEPER
19302,RESIN FISHING BOY WITH DOG
19303,PINE TREE (72&#34;)
19304,OKIDATA CORP. (DOMESTIC) OKI ML320 TURBO IMPACT PRINTER
19305,TRACFONE PREPAID WIRELESS MINUTES
19306,INES #2550
19307,YANKEES AT RANGERS
19308,BABY ONE MORE TIME... [ECD]
19309,THE SOPRANOS: THE COMPLETE SECOND SEASON
19310,SPARTA AT BOWERY BALLROOM
19311,WILD STYLE
19312,WHITE TURNTABLE
19313,UPS NEXT DAY AIR
19314,COMPACT CAR AUTOMATIC WITH AIR CONDITIONING
19315,SUITE-2 QUEEN BEDS
19316,WALTER CANTRELL
19317,JANICE MARTIN
19318,BENJAMIN MELLO
